id,X,Y
204,310768,9122925
72,308518,9122175
73,308518,9121925
202,310768,9123425
70,308518,9122675
203,310768,9123175
71,308518,9122425
200,310768,9123925
68,308518,9123175
201,310768,9123675
69,308518,9122925
198,310768,9124425
199,310768,9124175
67,308518,9123425
190,310518,9122675
58,308268,9121925
188,310518,9123175
56,308268,9122425
189,310518,9122925
57,308268,9122175
186,310518,9123675
54,308268,9122925
187,310518,9123425
55,308268,9122675
184,310518,9124175
52,308268,9123425
185,310518,9123925
53,308268,9123175
182,310518,9124675
183,310518,9124425
174,310268,9122925
175,310268,9122675
172,310268,9123425
40,308018,9122675
173,310268,9123175
41,308018,9122425
170,310268,9123925
38,308018,9123175
171,310268,9123675
39,308018,9122925
168,310268,9124425
169,310268,9124175
167,310268,9124675
160,310018,9122675
161,310018,9122425
158,310018,9123175
159,310018,9122925
156,310018,9123675
24,307768,9122925
157,310018,9123425
25,307768,9122675
154,310018,9124175
155,310018,9123925
153,310018,9124425
146,309768,9122425
147,309768,9122175
144,309768,9122925
145,309768,9122675
142,309768,9123425
143,309768,9123175
140,309768,9123925
141,309768,9123675
138,309768,9124425
139,309768,9124175
132,309518,9122175
130,309518,9122675
131,309518,9122425
128,309518,9123175
129,309518,9122925
126,309518,9123675
127,309518,9123425
124,309518,9124175
125,309518,9123925
118,309268,9121925
116,309268,9122425
117,309268,9122175
114,309268,9122925
115,309268,9122675
112,309268,9123425
113,309268,9123175
110,309268,9123925
111,309268,9123675
102,309018,9122175
103,309018,9121925
232,311268,9123425
100,309018,9122675
233,311268,9123175
101,309018,9122425
98,309018,9123175
231,311268,9123675
99,309018,9122925
96,309018,9123675
97,309018,9123425
95,309018,9123925
88,308768,9121925
89,308768,9121675
218,311018,9123175
86,308768,9122425
87,308768,9122175
216,311018,9123675
84,308768,9122925
217,311018,9123425
85,308768,9122675
214,311018,9124175
82,308768,9123425
215,311018,9123925
83,308768,9123175
81,308768,9123675
74,308518,9121675
